objectid,filename,youtubeid,title,creator,date,location,latitude,longitude,type,description,subject
podcast_001,podcast_001,https://open.spotify.com/episode/1qxNoAYLWxeBx8ZVs77iqT?si=ofNZgjZDT6i6m5lAmgraOg,Cinco preguntas a Alex Gil,Gustavo Navarro,2021-09,Nueva York (EEUU),40.712776,-74.005974,podcast,"Alex Gil es especialista en humanidades digitales y estudios caribeños y es bibliotecario en investigación digital en la Universidad de Columbia. Su investigación se centra en Aimé Césaire, humanidades digitales globales y humanidades experimentales.  Entrevista realizada por Gustavo Navarro (AAHD) para la serie de podcasts Cinco preguntas a humanistas digitales de la de la Asociación Argentina de Humanidades Digitales: aahd.net.ar",Global DH; Minimal Computing; Archivos digitales
podcast_002,podcast_002,https://open.spotify.com/episode/7vKzeC4m4vG989ZFgQ62rh?si=ZH5U6GyxTKuN9Er5rW8Waw,Cinco preguntas a Ernesto Priani,Gimena del Rio Riande,2021-09,Ciudad de México (México),19.483049,-99.082916,podcast,"Ernesto Priani es profesor titular e investigador de la Facultad de Filosofía y Letras de la UNAM. Sus áreas de especialización son Humanidades Digitales y Filosofía medieval y renacentista con temas relativos a la ética.  Entrevista realizada por Gimena del Rio Riande (AAHD) para la serie de podcasts Cinco preguntas a humanistas digitales de la de la Asociación Argentina de Humanidades Digitales: aahd.net.ar",Red HD
podcast_003,podcast_003,https://open.spotify.com/episode/1K5YPpIMtnK0HxjxtPgBLA?si=2qqI-n92RXGD1bRt5IdAuw,Cinco preguntas a Jennifer Isasi,Gabriel Calarco,2021-09,State College (EEUU),40.789680,-77.858063,podcast,"Jennifer Isasi es profesora asistente de investigación digital en la Universidad Estatal de Pensilvania y Directora de la Iniciativa de Investigación en Artes Liberales Digitales. Jennifer también es miembro del consejo editorial de la revista Programming Historian.  Entrevista realizada por Gabriel Calarco(AAHD) para la serie de podcasts Cinco preguntas a humanistas digitales de la de la Asociación Argentina de Humanidades Digitales: aahd.net.ar",HD Multilingües; Digital Humanities; Archivos digitales
podcast_004,podcast_004,https://open.spotify.com/episode/1RmvSpaS6MVk00ecdCt3rL?si=yfUCXSI0TmG_z5Yc3P98xA,Cinco preguntas a Gimena del Rio Riande,Marisol Fila,2021-09,Buenos Aires (Argentina),-34.603683,-58.381557,podcast,"Gimena del Rio Riande es investigadora adjunta del Instituto de Investigaciones Bibliográficas y Crítica Textual (IIBICRIT) de CONICET. Dirige el Laboratorio de Humanidades Digitales (HD CAICYT-CONICET).  Entrevista realizada por Marisol Fila(AAHD) para la serie de podcasts Cinco preguntas a humanistas digitales de la Asociación Argentina de Humanidades Digitales: aahd.net.ar",Humanidades Digitales; Acceso abierto; AAHD
podcast_005,podcast_005,https://open.spotify.com/episode/7d2lFJ12dM6xAVstB4RmMP?si=ue2QLCpaSYWKguixB9MxUA,Cinco preguntas a Kent Norsworthy,Gustavo Navarro,2021-09,Albuquerque (EEUU),35.084385,-106.650421,podcast,"Kent Norsworthy es Digital Library Manager de la University of New Mexico (Health Sciences Center) donde gestiona el Proyecto ECHO. Entre muchas de sus actividades, ha sido Digital Scholarship Coordinator del LLILAS Benson Latin American Studies and Collections and University of Texas Libraries.  Entrevista realizada por Gustavo Navarro (AAHD) para la serie de podcasts Cinco preguntas a humanistas digitales de la de la Asociación Argentina de Humanidades Digitales: aahd.net.ar",
podcast_006,podcast_006,https://open.spotify.com/episode/4TQ1Fg9OtrotSnh2Et82OP?si=eXYPwkVuS2e5mx-tsrRMrg,Cinco preguntas a Nicolás Quiroga,Gimena del Rio Riande,2021-09,Mar del Plata (Argentina),-37.996971,-57.549099,podcast,Nicolás Quiroga es investigador independiente de CONICET y profesor de Historia en la Universidad Nacional de Mar del Plata. Algunos de sus muchos proyectos sobre Historia Digital son Comunidades virtuales: http://humanidades.com.ar/comunidadesv/ y el portal de Obras completas de José Luis Romero: https://jlromero.com.ar/. Entrevista realizada por Gimena del Rio Riande (AAHD) para la serie de podcasts Cinco preguntas a humanistas digitales de la de la Asociación Argentina de Humanidades Digitales: aahd.net.ar/,
podcast_007,podcast_007,https://open.spotify.com/episode/6HxJtqdYcf1wgKy56zmL6V?si=eVlg0XtQQLi_mwY438A8DA,Cinco preguntas a Carlos Terrones,Andrés Olaizola,2021-09,Trujillo (Perú),-8.111840,-79.028671,podcast,"Carlos Terrones es profesor de la Universidad Privada del Norte (UPN). Desarrolló diversos proyectos transmedia en el MediaLab USMP y en el portal deportivo Aficionline.com. Ha publicado artículos sobre nuevas narrativas en libros y revistas de universidades de Colombia, México y España.

Participa del proyecto académico internacional de trabajo y producción colaborativa http://cocritic.ar/

Entrevista realizada por Andrés Olaizola (AAHD) para la serie de podcasts Cinco preguntas a humanistas digitales de la de la Asociación Argentina de Humanidades Digitales: aahd.net.ar/",
podcast_008,podcast_008,https://open.spotify.com/episode/1fxbkEh2FeI52QjFuoiD4E?si=C22NaiITRhSPHsywU6wWsA,Cinco preguntas a Clara Martínez Cantón,Carlos Nusch,2021-10,Madrid (España),40.43733,-3.70289,podcast,"Clara Isabel Martínez Cantón trabaja en el Departamento de Literatura Española y Teoría de la Literatura de la UNED (Universidad Nacional de Educación a Distancia). Se doctoró en la UNED con premio extraordinario en 2011.     Su perfil investigador se centra principalmente en dos áreas: poesía y métrica españolas y humanidades digitales. Se ha formado ampliamente en las dos, teniendo el doctorado especializado en métrica por la UNED, y un máster universitario en bibliotecas digitales impartido por la Universidad Carlos III de Madrid. Sobre métrica sus publicaciones se centran en cómo la poesía contemporánea aborda el ritmo, explorando tanto a los autores canónicos como a las nuevas expresiones artísticas relacionadas con la poesía oral. En relación con las humanidades digitales su trabajo se ha dedicado a repertorios métricos y bases de datos y métricas comparativas.     Es Investigadora Principal del proyecto Poetriae de la UNED (2019-2021), centrado en la digitalización de tratados poéticos medievales y, junto con el profesor Guillermo Laín, del proyecto “PoeMAS. Poesía para más gente. La poesía en la música popular española contemporánea” (PGC2018-099641-A-I00), financiado por el Ministerio de Ciencia, Innovación y Universidades (2019-2022) y participa en el proyecto Erasmus+ Digiphilit.    Es codirectora del título propio Máster en Humanidades Digitales (UNED, España), codirectora de la Revista de Humanidades Digitales (RHD). Entrevista realizada por Carlos Nusch para el podcast Cinco preguntas a humanistas digitales (AAHD).",
podcast_009,podcast_009,https://open.spotify.com/episode/2jTr9ShZE3iIBx3o2uxnBr?si=t9D-G0gmQpGdWu4kbbKRuA,Cinco preguntas a Antonio Rojas Castro,Virginia Brussa,2021-11,Berlín (Alemania),52.53473,13.37768,podcast,"Antonio Rojas Castro es doctor en Humanidades por la Universitat Pompeu Fabra (Barcelona, España) con una tesis sobre edición digital académica. Ha publicado extensamente sobre las Humanidades Digitales en España y la poesía española del siglo XVII. También ha traducido al español una colección de ensayos sobre análisis computacional de textos titulada Literatura en el laboratorio (2018) y ha colaborado con The Programming Historian en español. Actualmente trabaja como investigador postdoctoral en Humanidades Digitales en la Berlin-Brandenburgische Akademie der Wissenschaften (Alemania) y como profesor en la Universidad Internacional de la Rioja (España).

Entrevista realizada por Virginia Brussa (UNR) para el podcast Cinco preguntas a humanistas digitales (AHHD).",
podcast_010,podcast_010,https://open.spotify.com/episode/70c0nCJXjwK4ND7sn179Z2?si=LnkF-rYUR6ij2x1mJhpDvw,Cinco preguntas a Gustavo Fernández Riva,Gimena del Rio Riande,2021-12,Heidelberg (Alemania),49.40020,8.68291,podcast,"Gustavo Fernández Riva es investigador posdoctoral en la Universidad de Heidelberg (Alemania). Como miembro del Centro de Investigación Colaborativa ""Materiale Textkulturen"" desarrolla herramientas digitales para la edición e investigación de artefactos escritos en culturas no-tipográficas. También es docente de la carrera de Humanidades Digitales de la UCES (Argentina), donde imparte un módulo de análisis y visualización de datos. Estudió literatura medieval en las universidades de Buenos Aires (Argentina) y Oporto (Portugal). Su tesis doctoral (Universidad de Buenos Aires, 2018) incluyó una edición crítica en TEI y traducción al español de textos del poeta alemán del siglo XIII Konrad von Würzburg.",
